tweetId,time,text,replies,retweets,likes,entries,keyword
1225434062136860672,2020-02-07 00:30:43,Every coffee needs a scrumptious sidekick.  The nominees for Pastry Perfection are:,38,24,165,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-06 23:29:12,"From cozy to refreshing, there's a tea for everyone.  Introducing the nominees for Tea in a Leafing Role:",19,18,155,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-06 22:36:46,"Meatless but mighty, you can’t go wrong with one of these breakfast champions.  The Nominees for Veggie Victors are:",17,11,104,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-06 21:33:52,"From a simplistic white dot to intricate layers and bold colors, these are the nominees for Best Dressed Drink. ",31,22,139,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225434062136860672,2020-02-06 20:30:22,"Starbucks Favorites is back again for another year of voting for the things you love. 

We're kicking things off with the hottest thing in coffee, which is also the coolest.  Presenting, the Battle of the Cold Brew:",157,88,700,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225103706812637184,2020-02-05 22:37:39,How do you drink your Iced Coffee?,903,142,2256,"{'hashtags': [], 'urls': [], 'photos': [], 'videos': []}",starbucks
1225076690360995841,2020-02-05 20:50:18,"Iced, no matter what. pic.twitter.com/QiX8IAQvGb",35,343,2065,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EQBYuo9U0AEdRzn.jpg'], 'videos': []}",starbucks
1224739273498214400,2020-02-04 22:32:14,"“We all need to have a fair chance to do what we want to do. How you live, how you love, what you want to believe. That’s how I want to be seen.”

Donise, a Starbucks lawyer & American Bar Association Spirit of Excellence award recipient, is an advocate for workplace diversity.pic.twitter.com/G4TfdZZCeK",9,27,208,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EP8mfuoUcAExJ1w.jpg'], 'videos': []}",starbucks
1224739273498214400,2020-02-04 22:31:21,"""We're not a monolithic group. If I don't tell you my story, how would you know that I didn't share the experiences of the other Black people here?""

Edna, member of the Ga tribe of Ghana and Starbucks legal practice assistant, takes pride in her story and identity.pic.twitter.com/6sNZVMcKOe",3,27,221,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EP8mSpZVUAAa8II.jpg'], 'videos': []}",starbucks
1224739273498214400,2020-02-04 22:30:08,"“I know there are a lot of people like me out there. I can use my story and my store and my resources, and show them the pathway forward and help advance their growth and development.”

Casey is driven to use his visibility as a store manager to raise up other leaders of color.pic.twitter.com/1tmfd209MV",2,10,147,"{'hashtags': [], 'urls': [], 'photos': ['https://pbs.twimg.com/media/EP8mA-QU4AAQQx-.jpg'], 'videos': []}",starbucks
